id,distributor,page,raw,description,part_number,price,make,model,year_range,category,updated_at
8834c35cd2,Listado General Jefcar 2026,1,48820-BZ120 TERMINAL STABILIZER LINK TOYOTA YARIS 2022-ON L/R B/. 4.50,TERMINAL STABILIZER LINK TOYOTA YARIS 2022-ON L/R,48820-BZ120,4.5,Toyota,,2022,,2026-03-08T13:15:29.710393
8f932fc4d3,Listado General Jefcar 2026,2,BT-I10S BOTA EXTERNA - HYUNDAI I10 B/. 2 .50,BOTA EXTERNA - HYUNDAI I10,I10S,2.0,Hyundai,,,,2026-03-08T13:15:29.710431
76fa611b64,Listado General Jefcar 2026,2,BT-21 BOTA EXTERNA - NISSAN SENTRA B12-B13-B14 B/. 2 .50,BOTA EXTERNA - NISSAN SENTRA B12-B13-B14,BOTA,2.0,Nissan,,,,2026-03-08T13:15:29.710448
466e614acb,Listado General Jefcar 2026,2,BT-23 BOTA EXTERNA - TOYOTA COROLLA 87-16 B/. 2 .50,BOTA EXTERNA - TOYOTA COROLLA 87-16,BOTA,2.0,Toyota,,,,2026-03-08T13:15:29.710464
51e3d2670f,Listado General Jefcar 2026,2,BT-24 BOTA EXTERNA - HYUNDAI ACCENT 11-17 B/. 2 .50,BOTA EXTERNA - HYUNDAI ACCENT 11-17,BOTA,2.0,Hyundai,,,,2026-03-08T13:15:29.710478
f555335e1f,Listado General Jefcar 2026,2,BT-26 BOTA EXTERNA - MAZADA 323-626-PROTEGE B/. 2 .50,BOTA EXTERNA - MAZADA 323-626-PROTEGE,BOTA,2.0,Mazada,,,,2026-03-08T13:15:29.710493
eb97d94793,Listado General Jefcar 2026,2,BT-31 BOTA EXTERNA - NISSAN SUNNY 82-89 B/. 2 .50,BOTA EXTERNA - NISSAN SUNNY 82-89,BOTA,2.0,Nissan,,,,2026-03-08T13:15:29.710508
019dc5b917,Listado General Jefcar 2026,2,BT-76 BOTA EXTERNA - CHEVROLET CAMIONETA B/. 2 .50,BOTA EXTERNA - CHEVROLET CAMIONETA,BOTA,2.0,Chevrolet,,,,2026-03-08T13:15:29.710523
ddc93f01ba,Listado General Jefcar 2026,2,BT-85 BOTA EXTERNA - TOYOTA CELICA B/. 2 .50,BOTA EXTERNA - TOYOTA CELICA,BOTA,2.0,Toyota,,,,2026-03-08T13:15:29.710537
513ae9f554,Listado General Jefcar 2026,2,"BT-92 BOTA EXTERNA - TOYOTA COROLLA, TERCEL, RAV4 B/. 2 .50","BOTA EXTERNA - TOYOTA COROLLA, TERCEL, RAV4",BOTA,2.0,Toyota,,,,2026-03-08T13:15:29.710552
1260bf1942,Listado General Jefcar 2026,2,"BT-100 BOTA EXTERNA - TOYOTA, LEXUS, 4RUNNER 95 B/. 2 .50","BOTA EXTERNA - TOYOTA, LEXUS, 4RUNNER 95",BOTA,2.0,Toyota,,,,2026-03-08T13:15:29.710567
3effe3eb5d,Listado General Jefcar 2026,2,BT-110 BOTA EXTERNA - NISSAN D-21 B/. 2 .50,BOTA EXTERNA - NISSAN D-21,BOTA,2.0,Nissan,,,,2026-03-08T13:15:29.710582
fd398d1cf7,Listado General Jefcar 2026,2,BT-116 BOTA EXTERNA - NISSAN SENTRA B/. 2 .50,BOTA EXTERNA - NISSAN SENTRA,BOTA,2.0,Nissan,,,,2026-03-08T13:15:29.710596
7936505010,Listado General Jefcar 2026,2,BT-27 BOTA EXTERNA - HYUNDAI ACCENT 95-10 B/. 2 .50,BOTA EXTERNA - HYUNDAI ACCENT 95-10,BOTA,2.0,Hyundai,,,,2026-03-08T13:15:29.710610
0bbbbb75c1,Listado General Jefcar 2026,2,104221 BOTA EXTERNA - CHEVROLET SPARK B/. 2 .50,BOTA EXTERNA - CHEVROLET SPARK,104221,2.0,Chevrolet,,,,2026-03-08T13:15:29.710625
924c90cdf8,Listado General Jefcar 2026,2,104421 BOTA EXTERNA - CHEVROLET AVEO B/. 2 .50,BOTA EXTERNA - CHEVROLET AVEO,104421,2.0,Chevrolet,,,,2026-03-08T13:15:29.710638
